Symbol,Last Data Point,Status
RELIANCE.NS,2026-01-05,PASS
TCS.NS,2026-01-05,PASS
HDFCBANK.NS,2026-01-05,PASS
ICICIBANK.NS,2026-01-05,PASS
INFY.NS,2026-01-05,PASS
HINDUNILVR.NS,2026-01-05,PASS
ITC.NS,2026-01-05,PASS
SBIN.NS,2026-01-05,PASS
BHARTIARTL.NS,2026-01-05,PASS
LICI.NS,2026-01-05,PASS
LT.NS,2026-01-05,PASS
BAJFINANCE.NS,2026-01-05,PASS
HCLTECH.NS,2026-01-05,PASS
MARUTI.NS,2026-01-05,PASS
SUNPHARMA.NS,2026-01-05,PASS
TITAN.NS,2026-01-05,PASS
TATAMOTORS.NS,N/A,FAIL
ULTRACEMCO.NS,2026-01-05,PASS
ASIANPAINT.NS,2026-01-05,PASS
NTPC.NS,2026-01-05,PASS
POWERGRID.NS,2026-01-05,PASS
AXISBANK.NS,2026-01-05,PASS
KOTAKBANK.NS,2026-01-05,PASS
ADANIENT.NS,2026-01-05,PASS
ADANIPORTS.NS,2026-01-05,PASS
M&M.NS,2026-01-05,PASS
ONGC.NS,2026-01-05,PASS
COALINDIA.NS,2026-01-05,PASS
WIPRO.NS,2026-01-05,PASS
JSWSTEEL.NS,2026-01-05,PASS
TATASTEEL.NS,2026-01-05,PASS
GRASIM.NS,2026-01-05,PASS
TECHM.NS,2026-01-05,PASS
HINDALCO.NS,2026-01-05,PASS
INDUSINDBK.NS,2026-01-05,PASS
NESTLEIND.NS,2026-01-05,PASS
BAJAJFINSV.NS,2026-01-05,PASS
DIVISLAB.NS,2026-01-05,PASS
CIPLA.NS,2026-01-05,PASS
DRREDDY.NS,2026-01-05,PASS
BRITANNIA.NS,2026-01-05,PASS
BPCL.NS,2026-01-05,PASS
EICHERMOT.NS,2026-01-05,PASS
HEROMOTOCO.NS,2026-01-05,PASS
APOLLOHOSP.NS,2026-01-05,PASS
TATACONSUM.NS,2026-01-05,PASS
SBILIFE.NS,2026-01-05,PASS
HDFCLIFE.NS,2026-01-05,PASS
SHRIRAMFIN.NS,2026-01-05,PASS
ADANIPOWER.NS,2026-01-05,PASS
ZOMATO.NS,N/A,FAIL
HAL.NS,2026-01-05,PASS
JIOFIN.NS,2026-01-05,PASS
TRENT.NS,2026-01-05,PASS
DLF.NS,2026-01-05,PASS
BEL.NS,2026-01-05,PASS
VBL.NS,2026-01-05,PASS
CHOLAFIN.NS,2026-01-05,PASS
SIEMENS.NS,2026-01-05,PASS
TVSMOTOR.NS,2026-01-05,PASS
HAVELLS.NS,2026-01-05,PASS
IOC.NS,2026-01-05,PASS
VEDL.NS,2026-01-05,PASS
GODREJCP.NS,2026-01-05,PASS
GAIL.NS,2026-01-05,PASS
DABUR.NS,2026-01-05,PASS
ABB.NS,2026-01-05,PASS
SHREECEM.NS,2026-01-05,PASS
AMBUJACEM.NS,2026-01-05,PASS
INDIGO.NS,2026-01-05,PASS
PNB.NS,2026-01-05,PASS
CANBK.NS,2026-01-05,PASS
BANKBARODA.NS,2026-01-05,PASS
PIDILITIND.NS,2026-01-05,PASS
NAUKRI.NS,2026-01-05,PASS
ICICIGI.NS,2026-01-05,PASS
SBICARD.NS,2026-01-05,PASS
BOSCHLTD.NS,2026-01-05,PASS
MARICO.NS,2026-01-05,PASS
COLPAL.NS,2026-01-05,PASS
BERGEPAINT.NS,2026-01-05,PASS
MOTHERSON.NS,2026-01-05,PASS
IRCTC.NS,2026-01-05,PASS
MUTHOOTFIN.NS,2026-01-05,PASS
PFC.NS,2026-01-05,PASS
RECLTD.NS,2026-01-05,PASS
ADANIENSOL.NS,2026-01-05,PASS
ADANIGREEN.NS,2026-01-05,PASS
ATGL.NS,2026-01-05,PASS
LODHA.NS,2026-01-05,PASS
SRF.NS,2026-01-05,PASS
TATAELXSI.NS,2026-01-05,PASS
PIIND.NS,2026-01-05,PASS
TORNTPHARM.NS,2026-01-05,PASS
ZYDUSLIFE.NS,2026-01-05,PASS
LUPIN.NS,2026-01-05,PASS
AUROPHARMA.NS,2026-01-05,PASS
POLYCAB.NS,2026-01-05,PASS
FEDERALBNK.NS,2026-01-05,PASS
TATACOMM.NS,2026-01-05,PASS
ALKEM.NS,2026-01-05,PASS
COFORGE.NS,2026-01-05,PASS
PERSISTENT.NS,2026-01-05,PASS
MPHASIS.NS,2026-01-05,PASS
LTTS.NS,2026-01-05,PASS
OBEROIRLTY.NS,2026-01-05,PASS
PHOENIXLTD.NS,2026-01-05,PASS
PRESTIGE.NS,2026-01-05,PASS
GODREJPROP.NS,2026-01-05,PASS
ASHOKLEY.NS,2026-01-05,PASS
BALKRISIND.NS,2026-01-05,PASS
MRF.NS,2026-01-05,PASS
BHARATFORG.NS,2026-01-05,PASS
CUMMINSIND.NS,2026-01-05,PASS
ASTRAL.NS,2026-01-05,PASS
SUPREMEIND.NS,2026-01-05,PASS
PAGEIND.NS,2026-01-05,PASS
JUBLFOOD.NS,2026-01-05,PASS
DEVYANI.NS,2026-01-05,PASS
ABFRL.NS,2026-01-05,PASS
BATAINDIA.NS,2026-01-05,PASS
